period_end,debt_type,maturity_year,rate_type,principal_mn_krw,weighted_avg_all_in_rate_pct,number_of_facilities
2026-03-31,전자단기사채,2026,고정,250000,3.26,10
2026-03-31,회사채,2026,고정,185000,3.929,5
2026-03-31,차입금,2027,변동,441800,3.77,6
2026-03-31,회사채,2027,고정,320000,3.45,10
2026-03-31,차입금,2028,변동,370400,3.977,7
2026-03-31,회사채,2028,고정,230000,3.359,6
2026-03-31,전자단기사채,TOTAL,mixed,250000,3.26,10
2026-03-31,차입금,TOTAL,mixed,812200,3.864,13
2026-03-31,회사채,TOTAL,mixed,735000,3.542,21
2026-03-31,ALL,TOTAL,mixed,1797200,3.648,44
